,titulo,url,precios
20,"Notebook Noblex 14.1"" Pantalla HD Intel Celeron 4GB/128GB SSD",https://www.mercadolibre.com.ar/notebook-noblex-141-pantalla-hd-intel-celeron-4gb128gb-ssd/p/MLA18547226?pdp_filters=category:MLA1652#searchVariation=MLA18547226&position=18&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,70379 pesos
21,"Notebook HP 15-ef2513la azul índigo 15.6"", AMD Ryzen 5 5500U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 7 1366x768px Windows 11 Home",https://www.mercadolibre.com.ar/notebook-hp-15-ef2513la-azul-indigo-156-amd-ryzen-5-5500u-8gb-de-ram-256gb-ssd-amd-radeon-rx-vega-7-1366x768px-windows-11-home/p/MLA19167862?pdp_filters=category:MLA1652#searchVariation=MLA19167862&position=21&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,162999 pesos
22,"Notebook Asus X515EA slate gray 15.6"", Intel Core i3 1115G4  4GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 1920x1080px",https://www.mercadolibre.com.ar/notebook-asus-x515ea-slate-gray-156-intel-core-i3-1115g4-4gb-de-ram-256gb-ssd-intel-uhd-graphics-xe-g4-48eus-1920x1080px/p/MLA18641991?pdp_filters=category:MLA1652#searchVariation=MLA18641991&position=22&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,105999 pesos
23,"Notebook Lenovo IdeaPad 15IIL05  almond 15.6"", Intel Core i3 1005G1  4GB de RAM 128GB SSD, Intel UHD Graphics G1 1366x768px Windows 10 Home",https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-15iil05-almond-156-intel-core-i3-1005g1-4gb-de-ram-128gb-ssd-intel-uhd-graphics-g1-1366x768px-windows-10-home/p/MLA18619163?pdp_filters=category:MLA1652#searchVariation=MLA18619163&position=23&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,93000 pesos
24,"Notebook Asus X515EA slate gray 15.6"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 1920x1080px",https://www.mercadolibre.com.ar/notebook-asus-x515ea-slate-gray-156-intel-core-i5-1135g7-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-80eus-1920x1080px/p/MLA18964745?pdp_filters=category:MLA1652#searchVariation=MLA18964745&position=24&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,149999 pesos
25,Notebook Noblex 15.6” Full HD Intel Core i3 4GB/256GB SSD,https://www.mercadolibre.com.ar/notebook-noblex-156-full-hd-intel-core-i3-4gb256gb-ssd/p/MLA18547225?pdp_filters=category:MLA1652#searchVariation=MLA18547225&position=25&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,106499 pesos
26,"Notebook Lenovo IdeaPad 15ITL05  platinum grey 15.6"", Intel Core i3 1115G4  8GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 1366x768px Windows 11 Home",https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-15itl05-platinum-grey-156-intel-core-i3-1115g4-8gb-de-ram-256gb-ssd-intel-uhd-graphics-xe-g4-48eus-1366x768px-windows-11-home/p/MLA19104080?pdp_filters=category:MLA1652#searchVariation=MLA19104080&position=26&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,125900 pesos
27,Notebook Acer Aspire 5 - Core I3 A515-54-386u - Plateado,https://www.mercadolibre.com.ar/notebook-acer-aspire-5-core-i3-a515-54-386u-plateado/p/MLA19470766?pdp_filters=category:MLA1652#searchVariation=MLA19470766&position=27&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,104999 pesos
28,"Notebook Dell Inspiron 3505 silver 15.6"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 60 Hz 1366x768px Windows 11 Home",https://www.mercadolibre.com.ar/notebook-dell-inspiron-3505-silver-156-amd-ryzen-5-3450u-8gb-de-ram-256gb-ssd-amd-radeon-rx-vega-8-ryzen-20003000-60-hz-1366x768px-windows-11-home/p/MLA16537306?pdp_filters=category:MLA1652#searchVariation=MLA16537306&position=28&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,149999 pesos
29,Apple Macbook Air M2 2022 8gb Ram 256gb Ssd Space Gray 13.6 ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=5G7DnFfR3%2BYmEumeHmcBy0xkTocIw9yu73uBmpIIBCi%2FlgfQjbcesUUttzZRC%2Bguv9hU%2FErZIuFWVmI5j7VTELWPsm4SYBOHX8O9gtOdFPLhz0DxRl1Y6eaHtsoiqBOTrL8fgJgL92GIQedk6tz9MDm6sLoZ%2B948bHVfuLtF4h6%2Fuxv%2FA356hJGmyLz4kjpHCM8ttYDhVmYRh3ecw9yDRpdOdkHkjwiNHDIOaRNvj9UogJDslvIZiv8F2slsN7UC4W3CguoGpZKLL%2BC2Ukx%2F71eHiZLnAHaTY%2F%2BRght8xLzAcr%2B2f5YQLcmX3aFrZW9%2FXwOEX7pv%2F8z8BQQZngp24QeHZcjAozAzA6C4lYTgJMkoKWrfklCTd9ZUq%2FnFoe59418RmkoPnJyxKl%2FBglLRLDowIIHRW%2Bp2FI2hOzPTRPuyGZtlojPkWRJ7Ql0agrj5uOQI25t9kDkoMPwkv0%2FjEafUojC4%2BuDdvEGEgbV1CilG5%2FBWOJVncRaEUSkXu2WyM13ZiCAG80tSb5d0E6AzQOXYjl5L23yGdR4EMinN%2BabDrfoIJfqhI%2Bi4FhyD7%2FJ%2F06XATriLqI5g9QXGyCYXUm724vzQlC1RP2ECp89qxAVCkphsaVKyEhwcJPzonNNbDKFSK1BgHBmBMLJUnde%2FjvIxZhZ0%2FQPi%2BdOqR%2Bq%2FWUOG5Dl0BTmy5A%2F36HacCruVn%2F866Vx6WNHv3jX%2B%2FaTg3KC4QoAIn%2FImhxq6RCNaCaza3cJOz08se7UAMUb0xuiMJUgXEOCGcgbolHOJeMm8Gb5crY%2FVexD7qfPuQa2ye3erUg%3D%3D&rb=x,338769 pesos
